texto,respuesta,etiqueta,area_origen
Ventajas de 3-Tier,"Mayor escalabilidad y flexibilidad, mejor seguridad en bdd. Mantener y actualizar aplicaciones.",2,Sistema-base-datos
Documentacino automatica: Swagger UI,reDoc,3,inteligencia-computacional
¿Cuál es el objetivo principal de la primera forma normal en las bases de datos relacionales?,Evitar la duplicación de datos en una tabla,2,Sistema-base-datos
Los metodos de una interfaz son public por defecto,Verdadero,2,programacion-objetos
En subnetting,"si aplicas un operador AND a nivel de bits entre la Dirección IP y la Máscara de Subred, ¿qué dato lógico extraes?,La Dirección de Red (Network ID)",0,algoritmia-2
Arquitectura 3-Tier,"Cliente,Logica de negocios y capa de servidor",2,Sistema-base-datos
¿Por qué Apache Spark es arquitectónicamente superior a Hadoop MapReduce clásico para iteraciones analíticas?,"Porque Spark procesa lógicamente los datos directamente en la memoria RAM distribuida, evitando las lentas y constantes escrituras a disco duro de MapReduce.",3,computo-distribuido
Minería de Datos (No Supervisado): ¿Qué es el Clustering?,Agrupar lógicamente un conjunto de objetos de tal manera que los objetos en el mismo grupo (cluster) sean más similares entre sí que con los de otros grupos.,3,computo-distribuido
¿Qué es la Exclusión Mutua distribuida?,Garantizar que solo un proceso acceda a un recurso compartido en todo el sistema.,3,computo-inteligente
¿Qué es un Registro de CPU?,"Es la memoria más pequeña, rápida y costosa del sistema. Se encuentra dentro del procesador y retiene los datos inmediatos con los que la ALU está operando.",1,arquitectura-computadoras
¿Qué es el proceso KDD?,Knowledge Discovery in Databases; el proceso metodológico para extraer conocimiento útil de los datos.,3,computo-inteligente
Grafo Conexo,Existe un camino entre cualquier par de vertices,0,algoritmia
Para garantizar atomicidad,"la base de datos escribe primero en el disco duro antes de confirmar al usuario,Falso",2,base-datos
¿Cuál es la complejidad temporal de la Búsqueda Binaria (Binary Search)?,"O(log N), ya que en cada iteración descarta lógicamente la mitad del espacio de búsqueda.",0,algoritmia-2
"Cuál es el ""Cuello de botella de Von Neumann""",La limitación de rendimiento que ocurre porque la CPU procesa información mucho más rápido de lo que el bus de memoria puede transferir datos e instrucciones.,1,arquitectura-computadoras
Sistemas,modelo red en el que múltiples clientes se conectan a un servidor centralizado que proporciona recursos o servicios,2,Sistema-base-datos
Una matriz de adyacencia consume menos memoria que una lista de adyacencia para representar un grafo muy disperso (pocos vértices conectados entre sí),Falso,0,algoritmia-2
¿Cuál de las siguientes opciones describe correctamente la Segunda Forma Normal (2NF)?,Una tabla está en 2NF si está en 1NF y todos los atributos que no son clave dependen funcionalmente de toda la clave primaria.,2,Sistema-base-datos
Que es Integridad de Datos?,Las bdd mantienen laprecisión y consistencia de los datos através de restricciones y reglas deintegridad.,2,Sistema-base-datos
Es CIA suficiente?,"Nos dice que se daño, pero en incidentes reales tambien impotra quien hizo que , si podemos probarlo, si el dato sigue siendo util/creible y si el control era usable o si empujo al usuario a equivocarse",2,ciberseguridad
Show answer choices,Eliminar la dependencia transitiva de los atributos de una tabla,2,Sistema-base-datos
Una clase Libro tiene Páginas. Si el libro se quema,las páginas también.,2,programacion-objetos
Ejemplos de Cliente/Servidor,"Navegadores web, Clientes de correo electrónico y Aplicaciones de bases de datos",2,Sistema-base-datos
Columnas derivadas,"Crear columnas a partir de conocimiento del dominio, una columna de aprobado a partir de columna calificacion final",3,inteligencia-computacional
¿Qué es la búsqueda Greedy (Voraz)?,"Algoritmo que elige siempre el nodo que parece estar más cerca de la meta según la heurística, ignorando el costo pasado.",3,computo-inteligente
Heap (Monticulo),Arbol binario especial donde el padre siempre es mayor (Max-Heap) o menor (Min-Heap) que los hijos.,0,algoritmia
Al diseñar un diagrama ER para una biblioteca,"decides que cada libro puede ser prestado a varios usuarios, y cada usuario puede tomar prestados varios libros. ¿Qué tipo de relación debería existir entre las entidades Libro y Usuario?,Muchos a muchos",2,Sistema-base-datos
¿Qué es la Migración de Procesos?,"La transferencia lógica y física del estado completo de un proceso en ejecución desde un nodo de la red hacia otro nodo, usualmente para balancear la carga computacional.",3,computo-distribuido
¿Qué es la Minería de Reglas de Asociación?,"Descubrir relaciones ""si-entonces"" entre variables (ej. el análisis de la canasta de mercado).",3,computo-inteligente
"¿Qué es la ""Consistencia Eventual""?","Modelo lógico donde, si no se realizan nuevas actualizaciones a un dato, eventualmente todos los accesos a ese dato devolverán el último valor actualizado (típico de sistemas altamente disponibles).",3,computo-distribuido
Tipos de ataques pasivos,Analisis de trafico,2,ciberseguridad
Desarollador de Aplicacion,Responsable de crear programa que dejen a usuarios interactuar con los datos.,2,Sistema-base-datos
Caso Práctico: Se insertan los valores [15,"10, 20, 8, 12] en un BST vacío. ¿Cuál es el orden de los nodos?",0,algoritmia
Qué problema arquitectónico presenta un BST estándar?,"Si los datos se insertan ya ordenados, el árbol se desbalancea y se convierte en una lista enlazada, degradando la búsqueda a O(N).",0,algoritmia-2
La segunda forma normal elimina la redundancia de datos en una tabla.,falso,2,Sistema-base-datos
Enlace Tardío (Late Binding),"El método a ejecutar se decide en tiempo de ejecución, no de compilación.",2,programacion-objetos
MAE - Mean Absolute Error,Mide el error absoluto promedio entre las predicciones y los valores reales.,3,inteligencia-computacional
¿Qué es la Tolerancia a Fallos?,Capacidad de un sistema de seguir funcionando a pesar de que algunos componentes fallen.,3,computo-inteligente
Cual es la metrica mas apropiada para penalizar errores mayores en problemas de regresion?,MSE,3,inteligencia-computacional
¿Qué es la Sincronización de Relojes?,Algoritmos (como Cristian o Berkeley) para asegurar que todos los nodos tengan la misma hora.,3,computo-inteligente
Que es un Middleware en computacion distribuida?,Capa de software que se situa entre el sistema operativo y las aplicaciones para facilitar comunicacion y coordinacion entre nodos distribuidos.,3,computo-inteligente
Que es el Overfitting (Sobreajuste) en modelos de clasificacion?,"Cuando un modelo aprende demasiado bien los detalles y el ruido de los datos de entrenamiento, perdiendo su capacidad de generalizar con datos nuevos.",3,computo-inteligente
Si tienes la clase Calculadora y el metodo sumar(int a y sumar(double a ) que concepto aplicas?,Sobrecarga,2,programacion-objetos
¿Qué es un Índice B-Tree (Árbol B)?,"Estructura de datos jerárquica y balanceada que permite búsquedas, inserciones y borrados eficientes en tiempo O(log n).",2,base-datos
Menciona tres funciones de activación comunes.,"Sigmoide, ReLU (Rectified Linear Unit) y Tanh.",3,computo-inteligente
¿Qué es la Escalabilidad?,Capacidad de un sistema para manejar una cantidad creciente de trabajo.,3,computo-inteligente
Factory Method,Patrón que define una interfaz para crear objetos pero deja que las subclases decidan qué clase instanciar,2,programacion-objetos
Método Abstracto,Método declarado en una clase base pero que debe ser implementado obligatoriamente por las subclases.,2,programacion-objetos
Que son los probelmas de clasificacion,"Se utiliza pra predecir una etiqueta, categoria discreta, usualmente usando una etiqueta",3,inteligencia-computacional
Una Cola de Mensajes (Message Broker) permite una comunicación sincrónica en tiempo real donde el cliente espera pasivamente la respuesta,Falso,3,computo-distribuido
"Estructura de memoria: ¿Qué almacena el ""Stack"" (Pila)?","Almacena variables locales, parámetros de funciones y el flujo de control (direcciones de retorno) con un tamaño y ciclo de vida predecible. Es muy rápido.",1,arquitectura-computadoras
Especialización,Proceso de crear subclases para añadir comportamientos específicos a una clase general,2,programacion-objetos
"¿Qué estructura de datos subyacente soporta lógicamente la funcionalidad de ""Deshacer"" (Ctrl+Z) en el software?",Una Pila (Stack).,0,algoritmia-2
"¿Qué es el ""Ámbito Dinámico"" (Dynamic Scope)?","Regla donde el alcance de una variable se determina por la cadena de llamadas a funciones en el tiempo de ejecución, no por dónde se escribió en el código.",2,lenguajes-programacion
Servidor,programa o dispositivo que proporciona servicios o recursos a los clientes en respuesta a sus solicitudes.,2,Sistema-base-datos
Para un conjunto de datos pequeño (ej. 20 elementos),"Quick Sort siempre derrotará arquitectónicamente a Insertion Sort en velocidad,Falso",0,algoritmia-2
Para conjuntos muy pequeños,la sobrecarga lógica de la recursividad en Quick Sort lo hace más lento que algoritmos simples como Insertion Sort.,0,algoritmia-2
¿Cuál es el rol de Apache ZooKeeper en arquitecturas distribuidas modernas?,"Actuar como un servicio centralizado lógico de alta disponibilidad para mantener información de configuración, naming, sincronización (bloqueos distribuidos) y servicios de grupo.",3,computo-distribuido
Que son los problemas de clustering?,Aprendizaje no supervisado para encontrar similitudes y patrones en un conjunto de datos.,3,inteligencia-computacional
Primero escribe en el Write-Ahead Log (WAL) en memoria o disco secuencial,y luego hace el commit por eficiencia.,2,base-datos
"¿Qué es una ""Función Pura""?","Una función que, dados los mismos parámetros de entrada, siempre devolverá lógicamente el mismo resultado y no produce ningún efecto secundario en el sistema.",2,lenguajes-programacion
Que es EDA?,Proceso inicial para entender los datos antes de modelar,3,inteligencia-computacional
Como NIEST define el riesgo,Probabilidad de que una amenza explote una vulnerabilidad y cause impacto adverso,2,ciberseguridad
¿Qué es un Sistema de Archivos Distribuido (DFS)?,Permite acceder a archivos localizados en diferentes nodos como si estuvieran en un disco local.,3,computo-inteligente
Cuales son las amenazas humanas?,No maliciosos,2,ciberseguridad
Una matriz de adyacencia de tamaño V * V desperdiciará memoria con ceros lógicos,mientras que la lista solo guarda las conexiones reales.,0,algoritmia-2
¿Qué es la Arquitectura de Von Neumann?,"Modelo de diseño donde tanto los datos como las instrucciones del programa se almacenan en la misma memoria unificada, accediendo a ellos a través de un bus común.",1,arquitectura-computadoras
La desnormalización puede aumentar el tamaño de las relaciones y hacer que las actualizaciones sean más lentas,True,2,Sistema-base-datos
Teoria de Grafos (Grado),Numero de aristas conectadas a un vertice,0,algoritmia
¿Qué es el Partitioning (Particionamiento)?,División física de tablas enormes en fragmentos más pequeños para mejorar la mantenibilidad y velocidad de escaneo.,2,base-datos
"Ejemplo: ""D"" corresponde a ""T"" y si","de ""D"" sigue con frecuencia ""E"" entonces es probable que ""E"" corresponda a ""H""",2,ciberseguridad
Ejecutas un proceso masivo nocturno que inserta 3 millones de registros en SQL Server,"pero el disco duro se queda sin espacio a la mitad del proceso y todo falla. ¿Por qué ocurrió?,Porque cada INSERT individual creció el Log de Transacciones incontrolablemente antes de hacer el Commit.",2,base-datos
Que es la funcion de activacion en una red neuronal basica?,"Es una funcion matematica que decide si una neuorna debe activarse o no, transformando la suma ponderada de las entradas en un valor de salida.",3,computo-inteligente
La concurrencia optimista asume que no habrá conflictos,"verificando los datos solo al momento de hacer el commit,Verdadero",2,base-datos
Precision,Proporcion de verdaderos positivos sobre el total de predicciones positivas realizadas,3,inteligencia-computacional
Como se evaluan los modelos de regresion,En terminos de diferencia de valores predecidos y valores reales de y,3,inteligencia-computacional
¿Qué patrón de diseño previene que un fallo en cascada destruya toda la red de servicios?,"El patrón ""Circuit Breaker"" (Cortacircuitos). Si un servicio detecta que otro está fallando, corta lógicamente las peticiones para darle tiempo de recuperación.",3,computo-distribuido
¿Qué es una bdd?,"Están diseñadas para permitir la recuperación, inserción y actualización eficiente de los datos.",2,Sistema-base-datos
Arquitectura Cliente/Servidor,"Disposición o proporción en que se hallan los elementos, forma en que esta ordenada.",2,Sistema-base-datos
Public,Acceso desde cualquier clase,2,programacion-objetos
Tienes un clúster de 5 bases de datos manejadas por Quorum. ¿Cuál es la fórmula lógica mínima para que un Quorum de escritura sea válido y evite el Split-Brain?,"Una mayoría estricta de votos positivos: (Total de nodos / 2) + 1. En este caso, 3 nodos deben estar de acuerdo.",3,computo-distribuido
¿Qué es el Cross-Validation (Validación Cruzada)?,Técnica para evaluar el modelo dividiendo los datos en $k$ partes y probando $k$ veces.,3,computo-inteligente
Que es un Bigrama,Algunos pare de letras son más frecuentes que otros,2,ciberseguridad
Que es Feature Engineering?,"Transformar datos crudos, incorporar conocimiento del dominio, facilitar el aprendizaje del dominio",3,inteligencia-computacional
