texto,respuesta,etiqueta,area_origen
"1. ¿Qué framework facilita la detección y explotación de vulnerabilidades como si fueran acciones sencillas de 'clic'?
A) .Net
B) Metasploit
C) Zeus
D) Ettercap",Respuesta: B - Metasploit es un framework de código abierto diseñado específicamente para la prueba de penetración y explotación de vulnerabilidades. Su interfaz intuitiva y amplia biblioteca de módulos permiten a los profesionales de seguridad automatizar tareas complejas y explorar potenciales debilidades en sistemas informáticos.,2,MMLU_computer_security
"Una firma digital necesita un sistema de seguridad específico.  ¿Cuál de los siguientes sistemas se utiliza para generar una firma digital?
A) Sistema de claves privadas
B) Sistema de claves compartidas
C) Sistema de claves públicas
D) Todos los anteriores","Respuesta: C - Las firmas digitales se basan en criptografía asimétrica, donde una clave pública se utiliza para verificar la firma y una clave privada es necesaria para generarla. Esto implica un sistema de claves públicas.",2,MMLU_computer_security
Que es Independencia de Datos?,"Separan los datos de las aplicaciones que los usan, permitiendo cambios en la estructurade la bdd sin afectar las aplicaciones existentes",2,Sistema-base-datos
"Se lanza un dado de seis caras 15 veces y los resultados son: cara 1 no sale ninguna vez; cara 2, una vez; cara 3, dos veces; cara 4, tres veces; cara 5, cuatro veces; cara 6, cinco veces.  Con base en estos resultados, ¿cuál es la probabilidad de que salga la cara 3 utilizando el método de suavizado Add-1?
A) 2.0/15
B) 1.0/7
C) 3.0/16
D) 1.0/5","Respuesta: B - El método de suavizado Add-1 ajusta la frecuencia observada de cada cara agregando 1 al conteo y dividiendo por el total de lanzamientos más el número de caras. En este caso, la probabilidad calculada con Add-1 sería (2 + 1) / (15 + 6) = 3/21 = 1/7.",3,MMLU_machine_learning
Algoritmo de planificación: ¿Qué es FCFS (First-Come,"First-Served)?,Algoritmo no preventivo donde el primer proceso que llega a la cola de ""Listo"" es el primero en ser ejecutado hasta que termine o se bloquee. Puede causar el ""Efecto Convoy"".",1,arquitectura-computadoras
¿Qué es el Aprendizaje Supervisado?,El modelo aprende a partir de datos de entrenamiento que ya incluyen la respuesta correcta (etiquetas).,3,computo-inteligente
"¿Cuál de los siguientes números decimales tiene una representación exacta en notación binaria?
A) 0.1
B) 0.2
C) 0.3
D) 0.5","Respuesta: D - El número 0.5 (o 1/2) puede representarse exactamente en binario como 0.1, ya que es una fracción con denominador que es potencia de 2. Los otros números decimales no tienen una representación exacta en binario debido a que sus fracciones no pueden expresarse como potencias de dos.",1,MMLU_college_computer_science
Un programa corre bien durante las primeras 3 horas,"pero luego vuelve a la computadora inoperable y el disco duro no deja de girar, aunque el programa sigue activo.",1,arquitectura-computadoras
Describe el funcionamiento del Balanceo de Carga en un sistema distribuido y explica su importancia para el rendimiento.,Tecnica de distribuir las peticiones entrantes de manera equitativa entre varios servidores para evitar cuellos de botella y mejorar la disponibilidad.,3,computo-inteligente_gemma_local
"El mensaje debe ser cifrado en el sitio del remitente y descifrado en el sitio del receptor.
A) Sitio del remitente
B) Sitio
C) Sitio del receptor
D) Conferencia","Respuesta: C - El descifrado del mensaje ocurre en el sitio del receptor, quien es el destinatario final de la información cifrada.",2,MMLU_computer_security
"Describa las diferencias clave entre pilas y colas, proporcionando ejemplos de cuándo se usaría cada una en la programación.",LIFO (Pila) vs FIFO (Cola),0,algoritmia_gemma_local
"Un entero *c* es un divisor común de dos enteros *x* e *y* si y solo si *c* es divisor de *x* y *c* es divisor de *y*. ¿Cuál de los siguientes conjuntos de enteros podría ser el conjunto de todos los divisores comunes de dos enteros?
A) {-6,-2, -1, 1, 2, 6}
B) {-6, -2, -1, 0, 1, 2, 6}
C) {-6, -3, -2, -1, 1, 2, 3, 6}
D) {-6, -3, -2, -1, 0, 1, 2, 3, 6}",Respuesta: C - La opción C es correcta porque incluye todos los divisores positivos y negativos de un número común. Los otros conjuntos omiten algunos divisores posibles.,1,MMLU_college_computer_science
Una clase abstracta debe tener al menos un método abstracto.,"(Falso, puede no tener ninguno, pero aun así no ser instanciable)",2,programacion-objetos
CIA TRIAD,Confidencialidad,2,ciberseguridad
"¿Cuándo ocurre un desbordamiento de búfer, en términos generales?
A) Cuando se escribe en un puntero que ya ha sido liberado.
B) Cuando se copia un búfer desde la pila hasta el montón.
C) Cuando un puntero se utiliza para acceder a memoria no asignada a él.
D) Cuando el programa detecta que un búfer se ha llenado y comienza a rechazar las solicitudes.","Respuesta: C - La opción C es correcta porque un desbordamiento de búfer ocurre cuando se intenta escribir más datos en un buffer de memoria del que tiene capacidad. Esto puede provocar que los datos escriban sobre la memoria adyacente, lo que puede corromper otros datos o incluso ejecutar código malicioso.",2,MMLU_computer_security
Describa los diferentes tipos de métodos HTTP y sus usos en una aplicación web.,Get - obtener recursos,3,inteligencia-computacional_gemma_local
Cuando usar ONNX y cuando Joblib,ONNX,3,inteligencia-computacional
"Para un clasificador bayesiano gaussiano, ¿cuál de estas suposiciones estructurales afecta más el equilibrio entre subajuste y sobreajuste?
A) Si aprendemos los centros de clase mediante máxima verosimilitud o descenso de gradiente.
B) Si asumimos matrices de covarianza de clase completas o diagonales.
C) Si tenemos premisas de clase iguales o premisas estimadas a partir de los datos.
D) Si permitimos que las clases tengan vectores de media diferentes o si los obligamos a compartir el mismo vector de media.","Respuesta: B - La opción B es correcta porque asumir matrices de covarianza de clase diagonales simplifica el modelo, reduciendo la posibilidad de sobreajuste. En cambio, las matrices completas permiten una mayor flexibilidad, pero también aumentan el riesgo de sobreajuste si hay suficiente complejidad en los datos.",3,MMLU_machine_learning
"¿Si implementas el algoritmo A, cuál es la expresión matemática que define su funcionamiento?","$f(n) = g(n) + h(n)$, donde $g(n)$ es el costo acumulado y $h(n)$ la estimación al futuro.",3,computo-inteligente_gemma_local
El equipo de marketing quiere crear campañas dirigidas agrupando a los usuarios según su navegación,"pero no tienen perfiles definidos de antemano. ¿Qué aplicas?,Clustering (ej. Algoritmo K-Means o DBSCAN)",3,computo-distribuido
"Explica cómo funciona el algoritmo LRU para la gestión de páginas en memoria virtual, incluyendo ejemplos.","Least Recently Used (Menos Usado Recientemente). Cuando la RAM está llena, el SO expulsa la página de memoria que lleva más tiempo sin ser accedida.",1,arquitectura-computadoras_gemma_local
"¿Si el RMSE en un modelo de predicción de precios de viviendas es de 10,000 dólares, qué significa esto en términos reales?",Misma unidad de y,3,inteligencia-computacional_gemma_local
"Dos transacciones en una aplicación de banca online, ejecutadas simultáneamente por usuarios en diferentes ubicaciones, se registran con timestamps: Transacción A (hora local del usuario): 14:35:07.123 y Transacción B (hora local del usuario): 14:35:07.120.  ¿El sistema puede determinar con certeza el orden en que ocurrieron las transacciones basándose únicamente en estos timestamps?",No,3,computo-distribuido_gemma_local
Diseña un algoritmo para determinar la ruta más eficiente para un robot que explora un laberinto bidimensional.,"contando el número de pasos lógicos. ¿Eliges DFS o BFS?,BFS (Búsqueda en Anchura), porque al avanzar radialmente por niveles garantiza el camino más corto en estructuras no ponderadas.",0,algoritmia-2_gemma_local
Que es defensa en capas - defense in depth,Diferentes tipos de controles,2,ciberseguridad
"Supongamos que Alice y Bob enviaron mensajes de texto confidenciales entre sí el mes pasado a través de un sistema de mensajería cifrada. Alice y Bob están preocupados porque un atacante podría comprometer una de sus computadoras hoy, mientras toman el examen final de 6.858, y luego podrían descifrar esos mensajes. ¿Cuál de las siguientes propiedades de seguridad puede abordar la preocupación de Alice y Bob?
A) Autenticación
B) Negociabilidad
C) Secreto hacia adelante
D) Secreto hacia atrás","Respuesta: C - El secreto hacia adelante garantiza que, incluso si las claves del pasado son comprometidas, los mensajes enviados con anterioridad no puedan descifrarse. En este caso, si un atacante accede a sus computadoras después de enviar los mensajes cifrados, no podrá descifrarlos debido al secreto hacia adelante.",2,MMLU_computer_security
Bicondicional,Verdadero si ambos tienen el mismo valor,0,algoritmia
"Si dos procesos diferentes cargan la librería estándar ""stdio.h"" (o similar)","el Sistema Operativo carga dos copias idénticas en la memoria RAM física,Falso",1,arquitectura-computadoras
"¿Si se tiene un conjunto ordenado de datos, ¿cuál es la cantidad máxima de comparaciones que realiza la Búsqueda Binaria? ¿Cómo se relaciona esto con la complejidad temporal?","O(log N), ya que en cada iteración descarta lógicamente la mitad del espacio de búsqueda.",0,algoritmia-2_gemma_local
¿Cuál es la función principal del Kernel (Núcleo)?,"Es el componente central del Sistema Operativo que gestiona los recursos del hardware y sirve de puente entre el software (aplicaciones) y el hardware físico (CPU, memoria, dispositivos).",1,arquitectura-computadoras
Caso: En una auditoría,"notas que una tabla tiene la columna ""Dirección_Completa"" guardando (Calle 123, Colonia Centro, CDMX). ¿Qué forma normal se está violando?,La Primera Forma Normal (1NF), ya que el atributo no es atómico. Debería dividirse en columnas de Calle, Colonia, y Ciudad.",2,base-datos
"En una situación donde un modelo de regresión enfrenta outliers, ¿qué métrica de evaluación sería más resistente a su influencia en comparación con el error cuadrático medio (MSE)? Describe la razón detrás de tu elección.",MAE,3,inteligencia-computacional_gemma_local
Si tienes la clase Calculadora y el metodo sumar(int a y sumar(double a ) que concepto aplicas?,Sobrecarga,2,programacion-objetos
Se le ha encargado diseñar un algoritmo para encontrar la ruta más corta entre dos ciudades en un mapa representado como un grafo. ¿Cuál sería la mejor técnica de búsqueda a utilizar y por qué? Describe brevemente cómo funcionaría.,"Algoritmo que explora lógicamente el grafo por capas o niveles, alejándose uniformemente del nodo origen. Requiere una Cola (Queue) para su implementación.",0,algoritmia-2_gemma_local
"¿Qué es el ""Duck Typing"" (Tipado Pato)?","Semántica dinámica donde el tipo u objeto real no es importante; lo que importa es si implementa lógicamente los métodos y propiedades requeridos en tiempo de ejecución (""Si camina como pato..."").",2,lenguajes-programacion
¿Qué factores influyen en la selección del modelo de aprendizaje automático adecuado para una tarea específica?,Que quiero predecir?,3,inteligencia-computacional_gemma_local
"Comparado con la varianza de la Estimación de Máxima Verosimilitud (MLE), la varianza de la Estimación de Máxima a Posteriori (MAP) es:
A) Mayor
B) Igual
C) Menor
D) Podría ser cualquiera de las anteriores","Respuesta: C - La estimación MAP generalmente tiene una varianza menor que la MLE porque incorpora información previa sobre los parámetros, lo cual reduce la incertidumbre.",3,MMLU_machine_learning
"¿Cuál entre los siguientes es el estándar de encriptación de seguridad menos robusto?
A) WEP
B) WPA
C) WPA2
D) WPA3","Respuesta: A - WEP (Wired Equivalent Privacy) es el estándar más antiguo y vulnerable a ataques, debido a sus algoritmos obsoletos y vulnerabilidades conocidas.",2,MMLU_computer_security
Tabla Hash (Hash Map),Almacena pares claves-valor.,0,algoritmia
"En un sistema de almacenamiento de archivos utilizando una función hash, se detectan dos archivos con la misma clave hash. ¿Qué estrategias puedes implementar para resolver esta colisión y garantizar que ambos archivos se almacenen correctamente?",Cuando dos claves distintas dan el mismo indice.,0,algoritmia_gemma_local
Explique qué es una interrupción (interrupt) a nivel de hardware y cómo se diferencia de una llamada al sistema.,"Una señal enviada a la CPU por un dispositivo (ej. teclado, disco) indicando que requiere atención inmediata, pausando el proceso actual.",1,arquitectura-computadoras_gemma_local
"Tienes una consulta con múltiples condiciones ""OR"" que obliga al motor a ignorar los índices y hacer un escaneo completo. ¿Cómo optimizas el código SQL?",Separar la consulta en dos SELECTs y unirlos mediante un UNION ALL.,2,base-datos
Cuales son metricas apropiadas para problemas de regresion?,MAE y MSE,3,inteligencia-computacional
¿Cuál es la secuencia de estados que atraviesa un proceso de Computación desde su inicio hasta su término? Enumera los cinco estados clave.,"Nuevo (New), Listo (Ready), En ejecución (Running), Bloqueado/En espera (Blocked/Waiting), y Terminado (Terminated).",1,arquitectura-computadoras_gemma_local
"¿Qué es la ""Consistencia Eventual""?","Modelo lógico donde, si no se realizan nuevas actualizaciones a un dato, eventualmente todos los accesos a ese dato devolverán el último valor actualizado (típico de sistemas altamente disponibles).",3,computo-distribuido
El patrón arquitectónico de Microservicios reduce drásticamente la complejidad de la red y el monitoreo frente a un Monolito,Falso,3,computo-distribuido
El programa ha finalizado su proceso de ejecución.,pero su entrada en la tabla de procesos sigue existiendo porque su padre no ha leído su estado de salida.,1,arquitectura-computadoras_gemma_local
"La arquitectura recomendada es ""Database per Service""",dándole a cada microservicio su propia BD para evitar acoplamiento y cuellos de botella.,2,base-datos
"¿Qué es el ""Quorum"" en bases de datos distribuidas?",El número mínimo estricto de nodos lógicos que deben votar o confirmar exitosamente una operación (lectura/escritura) para que esta se considere válida por el sistema.,3,computo-distribuido
"Describe la situación en la que un modelo de aprendizaje automático no aprende lo suficientemente bien los patrones de los datos, resultando en un rendimiento pobre tanto en el conjunto de entrenamiento como en conjuntos de prueba.",Cuando el modelo es demasiado simple para capturar la tendencia subyacente de los datos.,3,computo-inteligente_gemma_local
"En el contexto de la gestión de procesos, defina los términos 'Huérfano' y 'Zombie'. ¿Cómo se diferencian estos estados y qué acciones puede tomar un sistema operativo para gestionar estos tipos de procesos?",Huérfano: Su proceso padre terminó o murió antes que él (es adoptado por el proceso inicial init),1,arquitectura-computadoras_gemma_local
Describa cómo la Tabla de Símbolos ayuda a resolver conflictos de nombres en un programa escrito en lenguaje de programación.,"Es una estructura de datos central que almacena metadatos sobre los identificadores (variables, funciones), como su tipo de dato, ubicación en memoria y alcance (scope), siendo consultada por todas las fases.",1,arquitectura-computadoras_gemma_local
"Imagina que tienes dos procesos que necesitan acceder al mismo recurso, como un archivo. ¿Cómo se puede garantizar que solo un proceso pueda acceder a este recurso a la vez? Describe el rol de un Mutex en esta situación.","Un mecanismo de sincronización lógico (un ""candado""). Solo un hilo puede poseer el Mutex a la vez para acceder a una Sección Crítica; los demás hilos deben esperar a que se libere.",1,arquitectura-computadoras_gemma_local
Superclase / Clase Padre:,La clase de la cual se hereda.,2,programacion-objetos
Funcion Inyectivas,A cada elemento del codominio le corresponde maximo uno del dominio,0,algoritmia
Anomalia de actualizacion,Son problemas que ocurren cuando los cambios en los datos generan resultados inconsistentes o indeseables,2,Sistema-base-datos
Ejecutas un proceso masivo nocturno que inserta 3 millones de registros en SQL Server,"pero el disco duro se queda sin espacio a la mitad del proceso y todo falla. ¿Por qué ocurrió?,Porque cada INSERT individual creció el Log de Transacciones incontrolablemente antes de hacer el Commit.",2,base-datos
Codificacion categorica,OneHotEncoder,3,inteligencia-computacional
"Si una variable 'activo' es True, ¿cómo escribirías en lenguaje de programación una condición que evalúe a False?",Invierte el valor de verdad,0,algoritmia_gemma_local
Identifica y elimina elementos de una lista solo si la cantidad de elementos faltantes es mínima.,se puede eliminar las filas sin valor.,3,inteligencia-computacional_gemma_local
Caso Arquitectónico: Un servidor de bases de datos que procesa miles de conexiones pequeñas simultáneas está gastando demasiada RAM solo manteniendo los procesos vivos. ¿Cómo optimizas esto lógicamente a nivel de SO?,"Cambiar la arquitectura del servidor de un modelo basado en ""múltiples procesos"" a un modelo basado en ""múltiples hilos"" (Threads) o asíncrono, ya que los hilos son más ligeros y comparten memoria.",1,arquitectura-computadoras
Arreglos (Arrays),Coleccion indexada de tamano fijo.,0,algoritmia
Un sistema distribuido bien diseñado nunca necesita intervención humana,"incluso en fallos de red tipo Split-Brain graves,Falso",3,computo-distribuido
Desarrolla una función en Python para calcular el n-ésimo término de la serie de Fibonacci.,"si usas recursividad pura tardará años en un número grande por repetir el cálculo de las mismas ramas. ¿Cómo optimizas esta lógica de negocio?,Usando Programación Dinámica (Memoization) para guardar en un diccionario los números de Fibonacci ya calculados y devolverlos en tiempo O(1).",0,algoritmia-2_gemma_local
Que es utilidad?,El activo debe mantenerse utilizable y comprensible para quienes estan autorizados,2,ciberseguridad
¿Qué es un Almacén de Datos (Data Warehouse)?,Repositorio centralizado de datos integrados de múltiples fuentes para análisis.,3,computo-inteligente
Que protege una llave,Ataques de fuerza bruta,2,ciberseguridad
Explique cómo se utiliza el algoritmo K-means para agrupar clientes en base a sus hábitos de compra.,Asigna puntos a centros (centroides) más cercanos y actualiza los centros iterativamente hasta converger.,3,computo-inteligente_gemma_local
Describe el algoritmo de reemplazo de páginas LRU,"Least Recently Used (Menos Usado Recientemente). Cuando la RAM está llena, el SO expulsa la página de memoria que lleva más tiempo sin ser accedida.",1,arquitectura-computadoras
La abstraccion ayuda a reducir la complejidad del sistema,Verdadero,2,programacion-objetos
"¿Qué es la ""Elección de Líder"" (Leader Election)?","Algoritmo de consenso donde los nodos de un clúster colaboran lógicamente para designar a un único nodo como el coordinador o ""Maestro"", encargado de gestionar las operaciones críticas.",3,computo-distribuido
Explica cómo se puede convertir un modelo de Machine Learning en un formato que se pueda almacenar o transmitir fácilmente.,Convertir objeto en memoria a formato que pueda guardarse en disco y reconstruirse posteriormente,3,inteligencia-computacional_gemma_local
Un programa se ejecuta en ciclos de vida. ¿Cuáles son los cinco estados principales que experimenta un proceso durante este ciclo?,"Nuevo (New), Listo (Ready), En ejecución (Running), Bloqueado/En espera (Blocked/Waiting), y Terminado (Terminated).",1,arquitectura-computadoras_gemma_local
Imagina que quieres enviar un mensaje desde tu computadora a un servidor en la misma red. ¿Qué hace la Capa de Enlace de Datos (Capa 2) para que este mensaje llegue correctamente al servidor?,Proporcionar tránsito de datos a través de un enlace físico directo. Utiliza direcciones MAC (físicas) y detecta errores en las tramas (frames) mediante sumas de verificación.,1,arquitectura-computadoras_gemma_local
El equipo de analítica dispara una consulta masiva diaria que bloquea la tabla de Ventas durante 15 minutos,"deteniendo las compras en producción. ¿Cómo lo solucionas a nivel infraestructura?,Configurar una Réplica de Lectura (Read Replica). Mandarás el tráfico OLTP al máster y el OLAP a la réplica.",2,base-datos
¿Qué es la Replicación de Datos?,Mantener copias de los mismos datos en distintos nodos para mejorar disponibilidad y velocidad de lectura.,3,computo-inteligente
¿Qué es un Non-Clustered Index (Índice Secundario)?,Estructura separada de los datos físicos que contiene punteros a las filas. Una tabla puede tener múltiples.,2,base-datos
"El ""memoria mágica"" posee dos operaciones: Leer y Borrar. Ambas son indivisibles y mutuamente excluyentes. Borrar establece la memoria mágica en cero. Leer devuelve un valor que representa el número de operaciones de Lectura desde la última operación de Borrar. ¿Cuál de las siguientes afirmaciones es (son) verdaderas sobre la ""memoria mágica""? I. Puede proporcionar la funcionalidad de una prueba atómica y configuración. II. Se puede utilizar para coordinar procesos que se ejecutan en un multiprocesador con memoria compartida. III. Solo es útil en un multiprocesador.
A) Solo I
B) Solo II
C) Solo III
D) I y II","Respuesta: D - La respuesta correcta es D porque tanto la opción I como II son verdaderas. La memoria mágica puede simular un Test-and-Set atómico, ya que las operaciones Leer y Borrar son indivisibles. También se puede utilizar para la coordinación de procesos en multiprocesadores por su capacidad de proporcionar una forma segura e indivisible de compartir información.",1,MMLU_college_computer_science
Lista Ligada Simple,Nodos donde cada uno apunta al siguiente.,0,algoritmia
¿Qué es un Stored Procedure (Procedimiento Almacenado)?,"Bloque de código SQL precompilado en el servidor. Reduce el tráfico de red, abstrae la lógica y mejora la seguridad.",2,base-datos
Describe las características clave de un sistema distribuido y proporciona un ejemplo real de su aplicación.,Una coleccion de computadoreas independeintes que aparecen ante los usuarios como un unico sistema coherente.,3,computo-inteligente_gemma_local
Como se valida la seguridad de un algoritmo?,"Mediante el escrutinio publico y el analisis de expertos, no mediante el secreto de su diseño.",2,ciberseguridad
¿Qué estructura de datos usa BFS?,Una cola (FIFO).,3,computo-inteligente
MergeSort,Divide el arreglo hasta que cada elemento es una lista de tamaño 1 y luego los combina ordenados.,0,algoritmia
"A medida que el número de ejemplos de entrenamiento tiende al infinito, su modelo entrenado con esos datos tendrá:
A) Menor varianza
B) Mayor varianza
C) Variazance igual
D) Ninguna de las anteriores","Respuesta: A - Al aumentar el número de ejemplos de entrenamiento, el modelo aprende patrones más precisos y generaliza mejor. Esto lleva a una menor varianza, ya que las predicciones del modelo serán más consistentes en diferentes conjuntos de datos.",3,MMLU_machine_learning
"Un firewall tipo filtro de paquetes filtra en el nivel de:
A) Aplicación o transporte
B) Capa de enlace de datos
C) Capa física
D) Capa de red o transporte",Respuesta: D - Los firewalls tipo filtro de paquetes analizan el encabezado de los paquetes a nivel de red (IP) y transporte (TCP/UDP) para determinar si se debe permitir o bloquear la conexión. No operan en capas inferiores como enlace de datos o física.,2,MMLU_computer_security
Un ingeniero está buscando optimizar la búsqueda de información en un archivo gigante ordenado. ¿Qué algoritmo les recomendarías y por qué? Describa cómo funciona el algoritmo elegido y cuál es su eficiencia en comparación con otras técnicas de búsqueda.,Cantidad de memoria extra que usa un algoritmo,0,algoritmia_gemma_local
¿Qué es el Sharding (Fragmentación)?,Particionar una base de datos en trozos más pequeños distribuidos en diferentes servidores.,3,computo-inteligente
¿Qué es el TLB (Translation Lookaside Buffer)?,"Es una pequeña y ultrarrápida memoria caché de hardware dentro de la MMU (Memory Management Unit) que guarda las traducciones recientes de direcciones de memoria lógica a física, acelerando la paginación.",1,arquitectura-computadoras
Que es un setter?,Metodo para modificar un atributo privado validando los datos,2,programacion-objetos
En diseño de software,"un algoritmo que tarda O(N!) (Factorial) es escalable y seguro de implementar en un backend asíncrono,Falso. O(N!) es la complejidad lógica más ineficiente. Con una N minúscula (ej. N=20) destruiría completamente el rendimiento del sistema o causaría un bloqueo masivo.",0,algoritmia-2
"¿Cuáles de los siguientes algoritmos son algoritmos de agrupamiento espacial?
A) Agrupamiento basado en partición
B) Agrupamiento K-means
C) Agrupamiento basado en cuadrícula
D) Todas las anteriores","Respuesta: D - La respuesta correcta es D porque los tres algoritmos mencionados (agrupamiento basado en partición, agrupamiento K-means y agrupamiento basado en cuadrícula) son métodos ampliamente utilizados para realizar agrupamiento espacial. Se enfocan en agrupar datos geográficos o puntos espaciales basados en su proximidad o similitud.",3,MMLU_machine_learning
Describa el Teorema CAP y explique cómo afecta a la arquitectura de los sistemas distribuidos.,"¿qué es la ""Disponibilidad""?,La garantía lógica de que cada solicitud recibe una respuesta de éxito o fracaso, independientemente del estado individual de algunos nodos.",3,computo-distribuido_gemma_local
"Describe las tareas que se realizan durante un cambio de contexto, y menciona cuál es su función principal en un sistema operativo.","La acción lógica donde el SO detiene la ejecución de un proceso/hilo, guarda su estado actual en el PCB/TCB, y carga el estado de un proceso diferente para que la CPU lo ejecute. Es una operación costosa.",1,arquitectura-computadoras_gemma_local
"Imagine que tres procesos llegan a un sistema en los siguientes momentos: 10:00 AM, 10:15 AM y 10:30 AM. Si se utiliza el algoritmo FCFS, ¿cuál será el orden de ejecución de estos procesos?","First-Served)?,Algoritmo no preventivo donde el primer proceso que llega a la cola de ""Listo"" es el primero en ser ejecutado hasta que termine o se bloquee. Puede causar el ""Efecto Convoy"".",1,arquitectura-computadoras_gemma_local
"En un sistema distribuido donde los datos se replican, describe las ventajas y desventajas de la sincronización.","el Líder recibe una escritura de datos, la anota en su disco, y responde ""Éxito"" al cliente inmediatamente sin esperar a los esclavos. ¿Qué riesgo lógico crítico estás corriendo?,Si el Líder muere antes de enviar la replicación asíncrona a los esclavos, ese dato se pierde permanentemente, rompiendo la Durabilidad (ACID)",3,computo-distribuido_gemma_local
"¿De las siguientes opciones, cuál mejor aproxima la relación entre el número de nodos no terminales y el número total de nodos en un árbol K-ario completo de profundidad N?
A) 1/K
B) (K-1)/K
C) log₁₀(1/N)
D) (N-1)/m","Respuesta: A - La opción A es correcta porque en un árbol K-ario completo, cada nivel contiene K veces más nodos que el nivel anterior. Por lo tanto, la proporción entre los nodos no terminales (que se encuentran solo en los niveles superiores) y los nodos totales tiende a 1/K a medida que la profundidad del árbol aumenta.",1,MMLU_college_computer_science
¿Podrías definir qué se entiende por un problema de clase P y proporcionar un ejemplo concreto?,"Un problema de decisión que puede ser resuelto por una máquina determinista en tiempo polinómico (es decir, de manera eficiente).",0,algoritmia-2_gemma_local
Caracteristica principal de un problema de regresion,Predice un valor numerico,3,inteligencia-computacional
¿En qué contexto se utiliza una tabla hash y cuál es su ventaja sobre otras estructuras de datos como listas o árboles?,"Estructura que mapea lógicamente llaves a valores utilizando una función hash para calcular un índice subyacente, logrando accesos de lectura/escritura muy rápidos.",0,algoritmia-2_gemma_local
¿Qué es una bdd?,"Están diseñadas para permitir la recuperación, inserción y actualización eficiente de los datos.",2,Sistema-base-datos
Un servicio de streaming multimedia que necesita gestionar múltiples transmisiones simultáneamente se encuentra con un problema de sobrecarga de RAM. Propón soluciones a nivel de sistema operativo para optimizar el uso de memoria en este escenario.,"Cambiar la arquitectura del servidor de un modelo basado en ""múltiples procesos"" a un modelo basado en ""múltiples hilos"" (Threads) o asíncrono, ya que los hilos son más ligeros y comparten memoria.",1,arquitectura-computadoras_gemma_local
"Para una red neuronal, ¿cuál de estas suposiciones estructurales es la que más afecta el equilibrio entre el infraajuste (es decir, un modelo con alto sesgo) y el sobreajuste (es decir, un modelo con alta varianza)?
A) El número de nodos ocultos
B) La tasa de aprendizaje
C) La elección inicial de los pesos
D) El uso de una unidad de entrada de término constante","Respuesta: A - El número de nodos ocultos influye directamente en la capacidad del modelo para aprender patrones complejos. Un número insuficiente de nodos lleva a un modelo con alto sesgo (infraajuste), mientras que un número excesivo puede conducir a un modelo con alta varianza (sobreajuste). Las otras opciones tienen un impacto, pero menor, en el equilibrio entre estos dos extremos.",3,MMLU_machine_learning
